16|16|8|7|
5.0|4.0|4.0|4.0|4.0|7.0|7.0|7.0|7.0|7.0|7.0|4.0|4.0|4.0|4.0|5.0|
5.0|4.0|4.0|4.0|4.0|4.0|7.0|7.0|7.0|7.0|4.0|4.0|4.0|4.0|4.0|5.0|
5.0|4.0|4.0|4.0|4.0|4.0|4.0|7.0|7.0|4.0|4.0|4.0|4.0|4.0|5.0|5.0|
5.0|5.0|5.0|4.0|4.0|4.0|4.0|4.0|4.0|4.0|4.0|4.0|4.0|4.0|5.0|5.0|
5.0|5.0|5.0|5.0|4.0|4.0|4.0|4.0|4.0|4.0|4.0|4.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|4.0|4.0|4.0|4.0|4.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|3.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|

